target_id	length	eff_length	est_counts	tpm
h1SMnT0035418.1	379	200.372	0	0
h1SMnT0035419.1	572	388.343	0	0
h1SMcT0023037.1	4734	4549.71	64.0813	0.829231
h1SMnT0035420.1	226	69.1028	0	0
h1SMnT0035096.1	559	375.434	16.1977	2.54009
h1SMcT0022872.1	985	800.711	0	0
h1SMcT0022814.1	2646	2461.71	0	0
h1SMcT0022815.1	2022	1837.71	8	0.256296
h1SMcT0022816.1	3124	2939.71	20.0235	0.401018
h1SMcT0022656.1	6668	6483.71	24.3404	0.221021
h1SMnT0034905.1	1057	872.711	13.6008	0.917533
h1SMcT0022657.2	3525	3340.71	255.582	4.50422
h1SMnT0034906.1	553	369.501	2.3721	0.377959
h1SMnT0034907.1	1610	1425.71	46.9218	1.93763
h1SMnT0034908.1	674	489.895	22.3332	2.68396
h1SMnT0034909.1	344	167.964	0	0
h1SMnT0034910.1	874	689.755	21.2708	1.81558
h1SMcT0022658.1	895	710.741	85.4494	7.07825
h1SMnT0035333.1	518	334.888	0	0
h1SMcT0022983.2	1765	1580.71	218.027	8.12058
h1SMnT0035334.1	355	178.033	0	0
h1SMnT0035335.1	347	170.66	0	0
h1SMcT0022982.1	1733	1548.71	67.6248	2.57078
h1SMnT0035165.1	414	233.585	0	0
h1SMnT0035166.1	311	138.363	1	0.425507
h1SMcT0022650.1	3691	3506.71	0	0
h1SMcT0022651.1	3742	3557.71	0	0
h1SMnT0034903.1	1789	1604.71	0	0
h1SMcT0022652.1	16757	16572.7	3.33317	0.0118411
h1SMcT0022653.1	7978	7793.71	6.1641	0.0465644
h1SMnT0034904.1	2408	2223.71	0	0
h1SMcT0022643.1	1273	1088.71	330.091	17.8505
h1SMcT0022644.1	746	561.779	0	0
h1SMcT0022645.1	752	567.779	0	0
h1SMcT0022646.1	812	627.768	0	0
h1SMcT0022878.1	3135	2950.71	30.0072	0.598725
h1SMnT0035197.1	681	496.895	8.05815	0.95477
h1SMcT0022879.1	645	460.961	0	0
h1SMcT0022880.1	1003	818.711	5.66973	0.407718
h1SMnT0035198.1	3014	2829.71	66	1.37319
h1SMcT0022974.1	15547	15362.7	332.233	1.27322
h1SMnT0035321.1	630	446.015	0	0
h1SMnT0035305.1	1121	936.711	1303.04	81.8994
h1SMnT0035306.1	1778	1593.71	2583.02	95.4217
h1SMnT0035307.1	531	347.731	0	0
h1SMnT0035308.1	1309	1124.71	2679.36	140.255
h1SMnT0035309.1	1106	921.711	0	0
h1SMnT0035310.1	1917	1732.71	3759.59	127.745
h1SMnT0035311.1	1033	848.711	0.0531425	0.00368647
h1SMnT0035312.1	3291	3106.71	0	0
h1SMnT0035313.1	363	185.511	241.235	76.5596
h1SMnT0035314.1	3292	3107.71	0	0
h1SMnT0035315.1	1694	1509.71	0	0
h1SMnT0035316.1	2161	1976.71	0	0
h1SMcT0022894.1	1956	1771.71	183.098	6.08443
h1SMnT0035285.1	673	488.895	0	0
h1SMnT0035286.1	153	23.6008	0	0
h1SMnT0035287.1	556	372.434	1.99569	0.31548
h1SMnT0035288.1	558	374.434	0.00431072	0.000677802
h1SMnT0035289.4	2122	1937.71	11.8758	0.360831
h1SMcT0022955.1	8642	8457.71	32.562	0.226666
h1SMcT0023031.1	565	381.374	0	0
h1SMnT0035406.1	1639	1454.71	1.01028	0.0408878
h1SMcT0023032.1	1505	1320.71	116.46	5.19156
h1SMnT0035407.1	2457	2272.71	13.4583	0.348639
h1SMcT0022953.1	2474	2289.71	0	0
h1SMcT0022996.1	3781	3596.71	56.1228	0.918676
h1SMcT0022890.1	1269	1084.71	62.4119	3.38752
h1SMnT0035209.1	395	215.481	0	0
h1SMcT0022891.1	597	413.144	1	0.142504
h1SMnT0035210.1	396	216.419	1.919	0.522043
h1SMnT0035211.1	681	496.895	0	0
h1SMcT0022866.1	913	728.741	22.1447	1.78906
h1SMcT0022973.1	3555	3370.71	191.426	3.34355
h1SMnT0035320.1	1153	968.711	12	0.729315
h1SMnT0035457.1	224	67.6722	0	0
h1SMcT0023053.1	1061	876.711	134.49	9.03151
h1SMnT0035458.1	385	206.016	12.2792	3.50912
h1SMcT0023003.1	902	717.741	172.12	14.1187
h1SMnT0035361.1	949	764.711	1	0.0769894
h1SMnT0035362.1	212	59.0171	0	0
h1SMcT0023004.1	713	528.834	0	0
h1SMcT0022831.1	1756	1571.71	0	0
h1SMnT0035146.1	130	14.8483	0	0
h1SMnT0035147.1	329	154.331	0	0
h1SMnT0035148.1	441	259.563	0	0
h1SMcT0022832.1	1390	1205.71	148.24	7.23852
h1SMcT0022887.1	2842	2657.71	0	0
h1SMnT0035207.1	381	202.245	0	0
h1SMnT0035182.2	1784	1599.71	8	0.294426
h1SMnT0035183.1	1315	1130.71	0	0
h1SMcT0022782.1	1579	1394.71	621.025	26.2152
h1SMcT0022783.1	924	739.741	27.8739	2.21843
h1SMnT0035061.1	497	314.206	0	0
h1SMcT0022784.1	1038	853.711	0	0
h1SMcT0023060.1	799	614.768	0	0
h1SMcT0022856.1	689	504.875	0	0
h1SMcT0022857.1	1071	886.711	3.37111	0.22383
h1SMcT0022920.1	6196	6011.71	170.842	1.67311
h1SMcT0022921.3	1402	1217.71	0.000150177	7.26083e-06
h1SMnT0035006.1	4147	3962.71	0	0
h1SMnT0035007.1	2193	2008.71	36	1.05515
h1SMnT0035344.1	214	60.4596	2.61756	2.54894
h1SMnT0035122.1	651	466.924	87.7598	11.0657
h1SMnT0035425.1	499	316.181	1	0.186206
h1SMnT0035426.1	325	150.78	0	0
h1SMcT0023008.1	2256	2071.71	480.237	13.6475
h1SMnT0035372.1	309	136.599	1	0.431004
h1SMnT0035373.2	2430	2245.71	62.2405	1.63173
h1SMnT0035343.1	112	13.6876	0	0
h1SMnT0035317.1	961	776.711	2.18298	0.16547
h1SMcT0022971.1	1182	997.711	9.23995	0.545247
h1SMcT0022823.1	2805	2620.71	51.6938	1.16131
h1SMnT0035111.1	308	135.795	0	0
h1SMnT0035112.1	328	153.437	0	0
h1SMnT0035113.2	311	138.363	0	0
h1SMnT0035114.1	344	167.964	0	0
h1SMcT0022964.1	936	751.711	28.7019	2.24795
h1SMnT0035299.1	1331	1146.71	0	0
h1SMnT0035300.1	364	186.454	0	0
h1SMnT0035301.1	468	285.781	18.0433	3.71717
h1SMnT0035302.1	423	242.22	4.54317	1.10427
h1SMcT0022965.1	2342	2157.71	8.93892	0.243905
h1SMcT0022819.1	1349	1164.71	1.41681	0.0716178
h1SMcT0022820.1	936	751.711	0	0
h1SMcT0022821.1	419	238.39	0.229464	0.0566703
h1SMcT0022822.1	1557	1372.71	353.5	15.1614
h1SMnT0035030.1	1039	854.711	2.69793	0.18584
h1SMcT0023066.1	1434	1249.71	0	0
h1SMcT0023067.1	862	677.755	2	0.173734
h1SMcT0023043.1	1562	1377.71	0	0
h1SMnT0035101.1	350	173.405	0	0
h1SMnT0035468.1	109	14.6726	0	0
h1SMnT0035469.1	545	361.574	0	0
h1SMnT0035470.2	1927	1742.71	27.4968	0.928935
h1SMnT0035471.1	816	631.768	7.82163	0.728901
h1SMnT0035472.1	1172	987.711	15.1209	0.901315
h1SMnT0035246.1	1140	955.711	0	0
h1SMcT0022926.1	1584	1399.71	0	0
h1SMcT0022927.1	1968	1783.71	0.0558443	0.00184324
h1SMcT0022928.1	780	595.768	0	0
h1SMnT0035247.1	2313	2128.71	5.64276	0.156064
h1SMcT0022929.1	1978	1793.71	0	0
h1SMnT0035248.1	2480	2295.71	0	0
h1SMcT0022930.1	1645	1460.71	0	0
h1SMnT0034948.1	1210	1025.71	44.9941	2.58261
h1SMnT0034949.1	1289	1104.71	0	0
h1SMnT0035257.1	2784	2599.71	0	0
h1SMcT0023023.3	2041	1856.71	782.883	24.8245
h1SMnT0035401.1	394	214.542	0	0
h1SMnT0035332.1	113	13.4661	0	0
h1SMcT0022767.1	2722	2537.71	88.2514	2.04742
h1SMnT0035038.1	911	726.741	2	0.162024
h1SMnT0035102.1	814	629.768	0	0
h1SMnT0035103.1	354	177.102	0	0
h1SMcT0022809.1	2070	1885.71	1873.91	58.5061
h1SMcT0022810.1	1258	1073.71	9	0.493496
h1SMnT0034938.1	1253	1068.71	4847.03	267.02
h1SMnT0034939.1	367	189.212	7.6215e-05	2.37149e-05
