gene	Currie_et_al_Lhx_LFC	This_study_Lhx_LFC	Currie_et_al_Pitx_LFC	This_study_Litx_LFC
h1SMcG0000008	0.295235995963205	-1.67592320060691	0.0570348938001168	-0.869716172490276
h1SMcG0000009	0.177837787523383	-0.623022168136924	0.19754669251452	-0.0843961714400322
h1SMcG0000011	-0.0140516312588922	-0.0557446888924948	-0.0872302466469288	0.0613885733260732
h1SMcG0000012	0.869407427952544	-1.24688982250657	0.403385076440052	-0.300007859197751
h1SMcG0000013	-0.0277679685478892	-0.356998952193172	-0.0134892111490531	-0.141480957587815
h1SMcG0000014	0.21916746653931	-0.0415042128963857	0.173822396296212	-0.096852413042122
h1SMcG0000015	-0.421567208263775	-0.642016460515726	-0.0219194070184538	-1.31929628933017
h1SMcG0000016	0.347885324350497	-0.24073040155442	0.349676063937745	-0.00914733330042102
h1SMcG0000017	0.147616096517457	0.490154737969838	0.0916854168303207	0.225949415269359
h1SMcG0000021	0.0190798132144481	-0.114172215008029	0.185880609746538	-0.0676254466182041
h1SMcG0000023	-0.107155444323561	0.154177833038015	0.118116729168981	-0.0473675993582177
h1SMcG0000024	-0.300522258661871	0.54117782319447	0.292002318358469	1.09797863528067
h1SMcG0000025	0.170188547692262	-0.268713327652336	0.0797174926903756	-0.0972258455402546
h1SMcG0000027	0.056838986913601	0.0346114190196048	0.0818742876281607	0.0159616474820702
h1SMcG0000028	0.201957578080029	0.0710236871649147	0.128066897638916	-0.0565140489691813
h1SMcG0000029	-0.0266835791651021	0.103343535480103	0.0671823968324047	-0.203522256618077
h1SMcG0000031	0.087064284876972	0.371088017841151	-0.00310792442117899	0.744227399879262
h1SMcG0000032	-0.0174641608076765	0.00672957653503526	-0.0828441749707247	-0.06761396747415
h1SMcG0000033	0.18793440462537	0.090847682054942	0.105637971795015	-0.075866782428689
h1SMcG0000034	0.106473320659328	0.00950606391074304	0.103328691737817	-0.224133218777524
h1SMcG0000040	0.227152773644278	-0.745345300672853	0.185050741900992	-1.24136788447011
h1SMcG0000042	0.178353658842427	-0.167770894217958	0.109783164554811	-0.190304806761512
h1SMcG0000043	0.213663904416922	-0.0710804604017312	0.132914768592042	-0.176599469985407
h1SMcG0000044	1.96259862872665	-1.23404962879726	1.58639380757132	-0.83852313893244
h1SMcG0000047	0.100246671443921	0.02850293747079	-0.0609853903936939	0.283515262360478
h1SMcG0000050	-0.0150606724584519	-0.0304233026750925	-0.0573787872889514	-1.19484397764246
h1SMcG0000056	0.0569284430853188	-0.470984522474784	0.121066909360602	-1.17100188800172
h1SMcG0000059	0.0352545439037682	-0.977086675484611	0.0766685929963846	-2.03257684550204
h1SMcG0000060	-0.0324086418842476	-0.549758083998294	0.291593081850051	-1.66446972767028
h1SMcG0000064	-0.103534676941066	-0.0416611329602963	-0.17735545201179	0.0325214325193311
h1SMcG0000065	0.131456523500766	-0.0287637386618694	-0.0545614292227754	0.137051682128011
h1SMcG0000067	0.0931742420810401	0.0701363252222525	0.171454336958067	0.0296741647187144
h1SMcG0000069	-0.148397283577464	-0.00302965960595471	-0.166712984049878	-0.455388834411598
h1SMcG0000072	1.11694061079388	1.81908683620798	NA	NA
h1SMcG0000075	0.0117348059466497	-3.00189820024853	-0.398625829697047	-1.31798409713137
h1SMcG0000076	-0.238022559105464	-0.00320654516173302	0.00998569852836588	-0.0872566009340488
h1SMcG0000078	0.240988563047653	0.114533718693145	0.167687634079324	0.0506677069322794
h1SMcG0000079	-0.00371527769248218	-0.0274336532368456	0.0102479313942577	-0.0171626984754178
h1SMcG0000080	-0.19828571407371	-0.111698088016666	-0.136946504660559	-0.14496627333536
h1SMcG0000082	0.0726901739484548	-0.126755772088271	0.1621906723513	-0.106328128803134
h1SMcG0000083	0.152145802187287	-0.348232579914696	0.313969958457163	-0.230858297193152
h1SMcG0000085	0.0365929825677728	0.00546182456618968	-0.0112263648060024	-0.213797067077747
h1SMcG0000086	0.0814040006344142	-0.0519833417115539	0.109518335289973	0.1273951335157
h1SMcG0000087	0.237510943554425	-0.134781860708855	0.0233842637190289	-0.3739942787285
h1SMcG0000089	-0.632278311935158	0.919207606860027	-0.51434866701544	0.209287870891145
h1SMcG0000090	-0.0104628917643087	-0.0116452836353646	0.0438398162230337	-0.046095177566617
h1SMcG0000093	-2.81092826268288	0.471300590724725	-3.05304979532368	0.303721338753915
h1SMcG0000094	0.181231902429466	0.221166597210497	-0.0187298007620168	0.428970343348609
h1SMcG0000095	1.2164857284676	-0.673302829266224	-2.11899255148895	-0.154529470906388
h1SMcG0000096	0.0161969689166803	-0.36605578810273	0.0437812014789772	-0.428058014045144
h1SMcG0000097	-0.201177604469166	0.0158658866951516	0.194978575145362	-0.145416213317759
h1SMcG0000100	0.0110940508609117	0.396894451732082	0.078436157692056	0.225527813699042
h1SMcG0000105	0.408653995766417	0.0760298512026926	0.316936099900158	-0.0534120659550333
h1SMcG0000106	0.410841247830362	0.00776549075748486	0.394073079268628	0.0175203732349243
h1SMcG0000107	0.0581936935031928	-0.124236234560249	0.205390757185182	-0.0790690395670576
h1SMcG0000109	-0.317503752093579	0.206675990560643	-0.135623846646836	-0.237493824525582
h1SMcG0000111	-0.166047797142635	0.42470295049402	-0.304152757054878	-0.0961157339988393
h1SMcG0000118	-1.70064589327585	-0.407827741836363	-1.24852866147214	-1.11767845017911
h1SMcG0000120	-1.10464396046894	-0.58773378915787	-0.0836457572979106	-0.745984003509529
h1SMcG0000122	0.0425938762528968	-0.430388052889996	0.106723325659282	-1.55156406091332
h1SMcG0000123	0.0637917684041896	0.215632533264565	-0.343837395474592	0.188847466514232
h1SMcG0000124	-0.479922923449087	0.494681149189189	-1.07676544539399	1.24868145287056
h1SMcG0000127	0.228329034593701	-0.181598915583779	0.366612453413154	-0.176218210121189
h1SMcG0000128	-0.154616032743613	-0.183722504763715	-0.237471482178476	-0.0332480786938613
h1SMcG0000130	-0.387556265559877	0.316570453687236	0.124285338463758	0.470959752644715
h1SMcG0000134	-0.655786799523991	1.06976255563667	-0.00507711003486084	3.08650061710434
h1SMcG0000135	-0.444752005890955	0.825968726489352	0.139737568963076	-0.57404775479135
h1SMcG0000136	-0.885810799349783	-0.688024656079425	-2.08069142587827	-0.192677296756117
h1SMcG0000137	0.0119951636271135	0.0356268517036404	0.187399352892709	-0.368688422112441
h1SMcG0000141	-0.149158796592278	-1.88848427237683	0.0980592113451075	-0.0909791265720057
h1SMcG0000143	-0.0561489509533762	0.110892930681857	-0.0757406522056905	0.185494671105316
h1SMcG0000145	-0.0187839026066885	0.110139462007986	-0.0135756687266184	0.0424139341272177
h1SMcG0000146	0.136758474210609	0.276834497506982	0.0440026726086677	0.235539542936711
h1SMcG0000147	-0.150636707868165	0.685517209449415	0.262157562312019	1.56305944906293
