h1SMcG0000127	h1SMcG0000127	Gene Expression
h1SMcG0000128	h1SMcG0000128	Gene Expression
h1SMcG0000130	h1SMcG0000130	Gene Expression
h1SMcG0000131	h1SMcG0000131	Gene Expression
h1SMcG0000132	h1SMcG0000132	Gene Expression
h1SMcG0000133	h1SMcG0000133	Gene Expression
h1SMcG0000134	h1SMcG0000134	Gene Expression
h1SMcG0000135	h1SMcG0000135	Gene Expression
h1SMcG0000136	h1SMcG0000136	Gene Expression
h1SMcG0000137	h1SMcG0000137	Gene Expression
h1SMcG0000141	h1SMcG0000141	Gene Expression
h1SMcG0000143	h1SMcG0000143	Gene Expression
h1SMcG0000144	h1SMcG0000144	Gene Expression
h1SMcG0000145	h1SMcG0000145	Gene Expression
h1SMcG0000146	h1SMcG0000146	Gene Expression
h1SMcG0000147	h1SMcG0000147	Gene Expression
h1SMcG0000148	h1SMcG0000148	Gene Expression
h1SMcG0000149	h1SMcG0000149	Gene Expression
h1SMcG0000150	h1SMcG0000150	Gene Expression
h1SMcG0000151	h1SMcG0000151	Gene Expression
h1SMcG0000152	h1SMcG0000152	Gene Expression
h1SMcG0000153	h1SMcG0000153	Gene Expression
h1SMcG0000154	h1SMcG0000154	Gene Expression
h1SMcG0000155	h1SMcG0000155	Gene Expression
h1SMcG0000156	h1SMcG0000156	Gene Expression
h1SMcG0000157	h1SMcG0000157	Gene Expression
h1SMcG0000158	h1SMcG0000158	Gene Expression
h1SMcG0000159	h1SMcG0000159	Gene Expression
h1SMcG0000160	h1SMcG0000160	Gene Expression
h1SMcG0000162	h1SMcG0000162	Gene Expression
h1SMcG0000163	h1SMcG0000163	Gene Expression
h1SMcG0000165	h1SMcG0000165	Gene Expression
h1SMcG0000169	h1SMcG0000169	Gene Expression
h1SMcG0000170	h1SMcG0000170	Gene Expression
h1SMcG0000171	h1SMcG0000171	Gene Expression
h1SMcG0000173	h1SMcG0000173	Gene Expression
h1SMcG0000174	h1SMcG0000174	Gene Expression
h1SMcG0000175	h1SMcG0000175	Gene Expression
h1SMcG0000176	h1SMcG0000176	Gene Expression
h1SMcG0000177	h1SMcG0000177	Gene Expression
h1SMcG0000178	h1SMcG0000178	Gene Expression
h1SMcG0000180	h1SMcG0000180	Gene Expression
h1SMcG0000181	h1SMcG0000181	Gene Expression
h1SMcG0000182	h1SMcG0000182	Gene Expression
h1SMcG0000183	h1SMcG0000183	Gene Expression
h1SMcG0000186	h1SMcG0000186	Gene Expression
h1SMcG0000187	h1SMcG0000187	Gene Expression
h1SMcG0000188	h1SMcG0000188	Gene Expression
h1SMcG0000189	h1SMcG0000189	Gene Expression
h1SMcG0000190	h1SMcG0000190	Gene Expression
h1SMcG0000191	h1SMcG0000191	Gene Expression
h1SMcG0000193	h1SMcG0000193	Gene Expression
h1SMcG0000194	h1SMcG0000194	Gene Expression
h1SMcG0000195	h1SMcG0000195	Gene Expression
h1SMcG0000196	h1SMcG0000196	Gene Expression
h1SMcG0000199	h1SMcG0000199	Gene Expression
h1SMcG0000201	h1SMcG0000201	Gene Expression
h1SMcG0000202	h1SMcG0000202	Gene Expression
h1SMcG0000204	h1SMcG0000204	Gene Expression
h1SMcG0000207	h1SMcG0000207	Gene Expression
h1SMcG0000208	h1SMcG0000208	Gene Expression
h1SMcG0000209	h1SMcG0000209	Gene Expression
h1SMcG0000211	h1SMcG0000211	Gene Expression
h1SMcG0000212	h1SMcG0000212	Gene Expression
h1SMcG0000215	h1SMcG0000215	Gene Expression
h1SMcG0000216	h1SMcG0000216	Gene Expression
h1SMcG0000218	h1SMcG0000218	Gene Expression
h1SMcG0000219	h1SMcG0000219	Gene Expression
h1SMcG0000221	h1SMcG0000221	Gene Expression
h1SMcG0000224	h1SMcG0000224	Gene Expression
h1SMcG0000226	h1SMcG0000226	Gene Expression
h1SMcG0000227	h1SMcG0000227	Gene Expression
h1SMcG0000228	h1SMcG0000228	Gene Expression
h1SMcG0000229	h1SMcG0000229	Gene Expression
h1SMcG0000231	h1SMcG0000231	Gene Expression
h1SMcG0000232	h1SMcG0000232	Gene Expression
h1SMcG0000234	h1SMcG0000234	Gene Expression
h1SMcG0000235	h1SMcG0000235	Gene Expression
h1SMcG0000236	h1SMcG0000236	Gene Expression
h1SMcG0000237	h1SMcG0000237	Gene Expression
h1SMcG0000238	h1SMcG0000238	Gene Expression
h1SMcG0000239	h1SMcG0000239	Gene Expression
h1SMcG0000240	h1SMcG0000240	Gene Expression
h1SMcG0000241	h1SMcG0000241	Gene Expression
h1SMcG0000242	h1SMcG0000242	Gene Expression
h1SMcG0000243	h1SMcG0000243	Gene Expression
h1SMcG0000245	h1SMcG0000245	Gene Expression
h1SMcG0000246	h1SMcG0000246	Gene Expression
h1SMcG0000248	h1SMcG0000248	Gene Expression
h1SMcG0000250	h1SMcG0000250	Gene Expression
h1SMcG0000251	h1SMcG0000251	Gene Expression
h1SMcG0000252	h1SMcG0000252	Gene Expression
h1SMcG0000253	h1SMcG0000253	Gene Expression
h1SMcG0000254	h1SMcG0000254	Gene Expression
h1SMcG0000255	h1SMcG0000255	Gene Expression
h1SMcG0000256	h1SMcG0000256	Gene Expression
h1SMcG0000257	h1SMcG0000257	Gene Expression
h1SMcG0000258	h1SMcG0000258	Gene Expression
h1SMcG0000262	h1SMcG0000262	Gene Expression
h1SMcG0000263	h1SMcG0000263	Gene Expression
h1SMcG0000264	h1SMcG0000264	Gene Expression
h1SMcG0000265	h1SMcG0000265	Gene Expression
h1SMcG0000266	h1SMcG0000266	Gene Expression
h1SMcG0000270	h1SMcG0000270	Gene Expression
h1SMcG0000273	h1SMcG0000273	Gene Expression
h1SMcG0000274	h1SMcG0000274	Gene Expression
h1SMcG0000275	h1SMcG0000275	Gene Expression
h1SMcG0000280	h1SMcG0000280	Gene Expression
h1SMcG0000281	h1SMcG0000281	Gene Expression
h1SMcG0000282	h1SMcG0000282	Gene Expression
h1SMcG0000283	h1SMcG0000283	Gene Expression
h1SMcG0000284	h1SMcG0000284	Gene Expression
h1SMcG0000285	h1SMcG0000285	Gene Expression
h1SMcG0000286	h1SMcG0000286	Gene Expression
h1SMcG0000287	h1SMcG0000287	Gene Expression
h1SMcG0000288	h1SMcG0000288	Gene Expression
h1SMcG0000290	h1SMcG0000290	Gene Expression
h1SMcG0000292	h1SMcG0000292	Gene Expression
h1SMcG0000293	h1SMcG0000293	Gene Expression
h1SMcG0000295	h1SMcG0000295	Gene Expression
h1SMcG0000296	h1SMcG0000296	Gene Expression
h1SMcG0000297	h1SMcG0000297	Gene Expression
h1SMcG0000299	h1SMcG0000299	Gene Expression
h1SMcG0000300	h1SMcG0000300	Gene Expression
h1SMcG0000301	h1SMcG0000301	Gene Expression
h1SMcG0000302	h1SMcG0000302	Gene Expression
h1SMcG0000305	h1SMcG0000305	Gene Expression
h1SMcG0000311	h1SMcG0000311	Gene Expression
h1SMcG0000318	h1SMcG0000318	Gene Expression
h1SMcG0000319	h1SMcG0000319	Gene Expression
h1SMcG0000320	h1SMcG0000320	Gene Expression
h1SMcG0000321	h1SMcG0000321	Gene Expression
h1SMcG0000322	h1SMcG0000322	Gene Expression
h1SMcG0000323	h1SMcG0000323	Gene Expression
h1SMcG0000325	h1SMcG0000325	Gene Expression
h1SMcG0000327	h1SMcG0000327	Gene Expression
h1SMcG0000328	h1SMcG0000328	Gene Expression
h1SMcG0000329	h1SMcG0000329	Gene Expression
h1SMcG0000330	h1SMcG0000330	Gene Expression
h1SMcG0000332	h1SMcG0000332	Gene Expression
h1SMcG0000333	h1SMcG0000333	Gene Expression
h1SMcG0000334	h1SMcG0000334	Gene Expression
h1SMcG0000337	h1SMcG0000337	Gene Expression
h1SMcG0000338	h1SMcG0000338	Gene Expression
h1SMcG0000340	h1SMcG0000340	Gene Expression
h1SMcG0000341	h1SMcG0000341	Gene Expression
h1SMcG0000342	h1SMcG0000342	Gene Expression
h1SMcG0000343	h1SMcG0000343	Gene Expression
h1SMcG0000345	h1SMcG0000345	Gene Expression
h1SMcG0000347	h1SMcG0000347	Gene Expression
h1SMcG0000349	h1SMcG0000349	Gene Expression
h1SMcG0000350	h1SMcG0000350	Gene Expression
h1SMcG0000352	h1SMcG0000352	Gene Expression
h1SMcG0000353	h1SMcG0000353	Gene Expression
h1SMcG0000355	h1SMcG0000355	Gene Expression
h1SMcG0000357	h1SMcG0000357	Gene Expression
h1SMcG0000358	h1SMcG0000358	Gene Expression
h1SMcG0000359	h1SMcG0000359	Gene Expression
h1SMcG0000360	h1SMcG0000360	Gene Expression
h1SMcG0000362	h1SMcG0000362	Gene Expression
h1SMcG0000363	h1SMcG0000363	Gene Expression
